food_id,food_name,changes,pairing_group,pairing_role,is_recommendable_food,exclusion_reason
FD0082,bayam merah segar,main_ingredient:ayam->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0083,bayam rebus,main_ingredient:ayam->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0084,bayam segar,main_ingredient:ayam->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0085,bayam tumis oncom,main_ingredient:ayam->kedelai; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0086,bayam tumis bersantan,main_ingredient:ayam->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0087,bebek itik,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0089,bebek daging goreng,main_ingredient:other->sapi; food_category:gorengan->lauk_hewani; suitable_breakfast:False->True,traditional_protein,protein,True,
FD0090,beberuk,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0091,beef burger,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0092,beef teriyaki masakan,food_category:lainnya->lauk_hewani; suitable_breakfast:False->True,traditional_protein,protein,True,
FD0093,beef yakiniku masakan,suitable_breakfast:False->True,complete_menu,complete,True,
FD0094,bekasam,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0095,bekasang,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0097,belimbing,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0098,belitung talas kukus,main_ingredient:other->singkong,savory_staple,staple,True,
FD0099,belut goreng,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0102,bengkuang,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0104,bentul talas kukus,main_ingredient:other->singkong,savory_staple,staple,True,
FD0130,beras pecah kulit,is_recommendable_food:True->False; suitable_breakfast:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_staple,invalid,False,raw_staple_requires_cooking
FD0135,betok wadi masakan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0136,bihun,is_recommendable_food:True->False; suitable_breakfast:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_staple,invalid,False,raw_staple_requires_cooking
FD0137,bihun goreng,suitable_breakfast:False->True,rice_noodle_staple,staple,True,
FD0138,bihun goreng instan,suitable_breakfast:False->True,rice_noodle_staple,staple,True,
FD0141,biji jambu mete,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0142,biji jambu mete goreng,recommendation_item_type:menu->fruit; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0143,biji nangkabiji salak,main_ingredient:sayuran->buah; food_category:sayuran->buah; recommendation_item_type:vegetable->fruit; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0144,bika ambon,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0145,bir 4 alkohol,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0146,biskuit,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0147,bit,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0148,biwah segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0149,bonggol pisang,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0150,bonggol pisang kering,suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0152,boros kunci,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0154,botok lamtoro,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0155,brem,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0156,brondong,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0157,brongkos,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0158,buah atung,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0159,buah kelenting segar,food_category:buah->snack_dessert; recommendation_item_type:fruit->snack; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,False,raw_item_requires_preparation
FD0160,buah kelor,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0161,buah kom segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0162,buah mentega bisbul,recommendation_item_type:fruit->ingredient; ingredient_only_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,invalid,invalid,False,ingredient_only|not_ready_to_eat
FD0163,buah merah,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0164,buah naga merah segar,main_ingredient:other->buah; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0165,buah naga putih segar,main_ingredient:other->buah; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0166,buah negri segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0167,buah nona,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0168,buah rotan segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0169,buah rukam segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0170,buah ruruhi segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0171,buah tuppa segar,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0173,bubur,recommendation_item_type:staple->menu; suitable_dinner:False->True,complete_menu,complete,True,
FD0174,bubur sagu,recommendation_item_type:staple->menu,complete_menu,complete,True,
FD0175,bubur tinotuan manado,recommendation_item_type:staple->menu,complete_menu,complete,True,
FD0176,bulgogi masakan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0177,bulung jajan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0178,bulung sangu,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0179,buncis,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0180,buncis asam,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0181,buncis rebus,suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0182,bunga pepaya segar,food_category:sayuran->buah; recommendation_item_type:vegetable->fruit; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0183,bunga turi segar,raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0187,buntil,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0188,buntil daun talas,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0189,buras,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0196,caisin segar,raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0197,cakalang asar asap papua,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0198,cake tape,suitable_lunch:True->False; suitable_dinner:True->False,savory_snack,snack,True,
FD0199,cammetutu,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0201,cap cai sayur,main_ingredient:other->sayuran; suitable_breakfast:False->True,complete_menu,complete,True,
FD0202,carica papaya segar,main_ingredient:other->buah; suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0203,cassavastick,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0204,cempedak,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,fruit_side,fruit,True,
FD0206,centel,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0207,ceriping getuk singkong,food_category:karbohidrat_pokok->snack_dessert; recommendation_item_type:staple->snack; suitable_lunch:True->False; suitable_dinner:True->False,savory_snack,snack,True,
FD0208,chicken teriyaki masakan,suitable_breakfast:False->True,complete_menu,complete,True,
FD0209,chikiniku masakan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0211,coklat manis batang,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0212,coklat pahit batang,suitable_breakfast:False->True; suitable_lunch:True->False; suitable_dinner:True->False,sweet_snack,sweet_snack,True,
FD0213,coklat susu batang,suitable_lunch:True->False,dairy_pairing,dairy,True,
FD0214,combro,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0215,corned beef,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0216,coto mangkasara kuda masakan,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0217,coto mangkasara sapi masakan,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0218,cue selar kuning,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,unknown,invalid,False,unclear_food_context
FD0220,cumi-cumi goreng,suitable_breakfast:False->True,traditional_protein,protein,True,
FD0222,daging anak sapi,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0223,daging asap,main_ingredient:other->sapi; recommendation_item_type:local_food_or_menu->protein_dish; suitable_breakfast:False->True,traditional_protein,protein,True,
FD0224,daging babi gemuk,main_ingredient:babi->sapi; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0225,daging babi kurus,main_ingredient:babi->sapi; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0226,daging domba,main_ingredient:other->sapi; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0227,daging kambing,main_ingredient:kambing->sapi; recommendation_item_type:menu->protein_dish; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0228,daging kerbau,main_ingredient:other->sapi; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0229,daging kuda,main_ingredient:other->sapi; recommendation_item_type:local_food_or_menu->protein_dish; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0230,daging sapi,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,protein_ingredient,invalid,False,protein_not_ready_as_dish
FD0231,daun bangun-bangun segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0234,daun bebuas segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0235,daun belem segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0236,daun beluntas,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0237,daun cincau,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0238,daun gandaria,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0239,daun gedi besar segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0240,daun gelang segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0241,daun gunda bali segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0242,daun gunda serang segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0243,daun jambu mete muda,main_ingredient:buah->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0244,daun jampang segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0245,daun jawaw seluang segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0246,daun jonghe segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0247,daun kacang ma segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0248,daun kacang panjang,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0249,daun kacang panjang kukus,suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0250,daun kacang panjang segar,raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0251,daun kasbisingkong karet segar,main_ingredient:singkong->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0252,daun katuk,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0253,daun katuk rebus,main_ingredient:other->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0254,daun katuk segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0255,daun kecipir,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0256,daun kedondong,main_ingredient:buah->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0257,daun kelor,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0258,daun kelor rebus,main_ingredient:other->sayuran; suitable_breakfast:False->True,cooked_or_ready_vegetable,vegetable,True,
FD0259,daun kemangi,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0260,daun kenikir segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0261,daun kesum segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0262,daun kol sawi segar,raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0263,daun koro,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0264,daun kubis segar,raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0265,daun kumak,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0266,daun labu siam,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0267,daun labu waluh,is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0268,daun lamtoro segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0269,daun leilem segar,main_ingredient:other->sayuran; raw_ingredient_flag:False->True; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation|raw_item_requires_preparation
FD0270,daun leunca,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
FD0271,daun lobak,main_ingredient:other->sayuran; is_recommendable_food:True->False; suitable_lunch:True->False; suitable_dinner:True->False,raw_vegetable,invalid,False,raw_vegetable_requires_preparation
